transaction_id,line_id,titulo,cantidad,precio_unitario,descuento_aplicado_pct,precio_final_unitario,line_total,vendor,ingest_date
CR-TX-0000024,CR-TX-0000024-L03,Journal  Moonlit,1,69.01,22.0,53.83,53.83,crisol,2025-11-09
CR-TX-0000025,CR-TX-0000025-L01,Universalismo radical,1,63.2,11.0,56.25,56.25,crisol,2025-11-09
CR-TX-0000025,CR-TX-0000025-L02,Batman: ¿Qué le sucedió al Cruzado de la Capa?,2,62.3,17.0,51.71,103.42,crisol,2025-11-09
CR-TX-0000026,CR-TX-0000026-L01,Etimologias para Sobrevivir al Caos,2,79.2,13.0,68.9,137.8,crisol,2025-11-09
CR-TX-0000026,CR-TX-0000026-L02,BREVETES DE HISTORIA UNIVERSAL DEL PERU,1,55.2,15.0,46.92,46.92,crisol,2025-11-09
CR-TX-0000027,CR-TX-0000027-L01,I Kissed Shara Wheeler,2,52.5,13.0,45.67,91.34,crisol,2025-11-09
CR-TX-0000027,CR-TX-0000027-L02,Valle del Terror,1,35.4,2.0,34.69,34.69,crisol,2025-11-09
CR-TX-0000027,CR-TX-0000027-L03,Mensajes en una botella,3,79.92,16.0,67.13,201.39,crisol,2025-11-09
CR-TX-0000028,CR-TX-0000028-L01,Los mejores cuentos de los hermanos Grimm,1,39.5,17.0,32.78,32.78,crisol,2025-11-09
CR-TX-0000028,CR-TX-0000028-L02,"Rompecabezas 1000 Mont St. Michel, France",2,59.9,22.0,46.72,93.44,crisol,2025-11-09
CR-TX-0000028,CR-TX-0000028-L03,jojo's bizarre adventure parte 4. Diamond is unbreakable 10,1,37.5,5.0,35.62,35.62,crisol,2025-11-09
CR-TX-0000029,CR-TX-0000029-L01,Los patitos feos,2,96.0,9.0,87.36,174.72,crisol,2025-11-09
CR-TX-0000029,CR-TX-0000029-L02,Ataque a los Titanes 16,3,34.3,19.0,27.78,83.34,crisol,2025-11-09
CR-TX-0000030,CR-TX-0000030-L01,"""In memoriam"" y otros poemas",2,52.5,4.0,50.4,100.8,crisol,2025-11-09
CR-TX-0000030,CR-TX-0000030-L02,Wet Sand 01,3,59.5,6.0,55.93,167.79,crisol,2025-11-09
CR-TX-0000031,CR-TX-0000031-L01,Nunca meriendes con un T-Rex,3,48.3,9.0,43.95,131.85,crisol,2025-11-09
CR-TX-0000031,CR-TX-0000031-L02,01 HP. Harry Potter y la piedra filosofal (edición especial),3,103.2,12.0,90.82,272.46,crisol,2025-11-09
CR-TX-0000032,CR-TX-0000032-L01,Hombres de gobierno,1,63.2,22.0,49.3,49.3,crisol,2025-11-09
CR-TX-0000032,CR-TX-0000032-L02,Harry Potter y el misterio del príncipe (Gryffindor). Harry Potter. 6,2,119.2,0.0,119.2,238.4,crisol,2025-11-09
CR-TX-0000032,CR-TX-0000032-L03,My Love Story,2,11.92,18.0,9.77,19.54,crisol,2025-11-09
CR-TX-0000032,CR-TX-0000032-L04,La memoria de los animales,3,87.2,8.0,80.22,240.66,crisol,2025-11-09
CR-TX-0000033,CR-TX-0000033-L01,El polemista arriesgado,3,63.2,4.0,60.67,182.01,crisol,2025-11-09
CR-TX-0000033,CR-TX-0000033-L02,Harry Potter y la cámara secreta. Harry Potter. 2,2,63.2,1.0,62.57,125.14,crisol,2025-11-09
CR-TX-0000033,CR-TX-0000033-L03,Tarot Familiars,3,103.2,14.0,88.75,266.25,crisol,2025-11-09
CR-TX-0000034,CR-TX-0000034-L01,Por Dios y por la plata,3,79.2,4.0,76.03,228.09,crisol,2025-11-09
CR-TX-0000034,CR-TX-0000034-L02,Los Robotones y la hidra de Lerna,1,38.5,22.0,30.03,30.03,crisol,2025-11-09
CR-TX-0000034,CR-TX-0000034-L03,Intensamente 2. Retos antiaburrimiento,3,39.92,11.0,35.53,106.59,crisol,2025-11-09
CR-TX-0000034,CR-TX-0000034-L04,Dorohedoro 02,2,30.4,22.0,23.71,47.42,crisol,2025-11-09
CR-TX-0000035,CR-TX-0000035-L01,The Song of Achilles,3,44.0,5.0,41.8,125.4,crisol,2025-11-09
CR-TX-0000035,CR-TX-0000035-L02,Food Wars!: Shokugeki no Soma 02,1,27.2,13.0,23.66,23.66,crisol,2025-11-09
CR-TX-0000035,CR-TX-0000035-L03,¡Sin salida! Diario de Greg. 6,2,39.2,9.0,35.67,71.34,crisol,2025-11-09
CR-TX-0000035,CR-TX-0000035-L04,Increíbles,1,76.3,21.0,60.28,60.28,crisol,2025-11-09
CR-TX-0000036,CR-TX-0000036-L01,Rompecabezas 500  Island Of Peace,2,49.9,25.0,37.42,74.84,crisol,2025-11-09
CR-TX-0000037,CR-TX-0000037-L01,My Hero Academia 16,3,23.2,24.0,17.63,52.89,crisol,2025-11-09
CR-TX-0000037,CR-TX-0000037-L02,El Silmarillion,3,55.92,1.0,55.36,166.08,crisol,2025-11-09
CR-TX-0000038,CR-TX-0000038-L01,Nothing More to Tell,2,69.3,12.0,60.98,121.96,crisol,2025-11-09
CR-TX-0000038,CR-TX-0000038-L02,Errores del pasado. Dominio Público. 1,2,63.92,19.0,51.78,103.56,crisol,2025-11-09
CR-TX-0000038,CR-TX-0000038-L03,Rompecabezas Mideer Artist Puzzle: My Treehouse Neighbors (500 piezas),3,89.0,14.0,76.54,229.62,crisol,2025-11-09
CR-TX-0000039,CR-TX-0000039-L01,El palacio de los sarcófagos. El Mensajero de Agartha. 2,3,39.92,15.0,33.93,101.79,crisol,2025-11-09
CR-TX-0000039,CR-TX-0000039-L02,Mi primer Elmer de buenas noches,2,47.2,0.0,47.2,94.4,crisol,2025-11-09
CR-TX-0000039,CR-TX-0000039-L03,La Distancia del Tiempo,1,40.0,22.0,31.2,31.2,crisol,2025-11-09
CR-TX-0000039,CR-TX-0000039-L04,Retratos de Sus Hijos. Cuentos de lo Extraño,3,23.2,24.0,17.63,52.89,crisol,2025-11-09
CR-TX-0000040,CR-TX-0000040-L01,"Tú y yo, invencibles",1,79.92,18.0,65.53,65.53,crisol,2025-11-09
CR-TX-0000041,CR-TX-0000041-L01,Wawa 1. Libro para padres,2,71.92,17.0,59.69,119.38,crisol,2025-11-09
CR-TX-0000041,CR-TX-0000041-L02,Los patitos feos,2,96.0,21.0,75.84,151.68,crisol,2025-11-09
CR-TX-0000041,CR-TX-0000041-L03,Aoha Raido 12,3,23.2,12.0,20.42,61.26,crisol,2025-11-09
CR-TX-0000042,CR-TX-0000042-L01,Snow Angels 1,3,29.4,8.0,27.05,81.15,crisol,2025-11-09
CR-TX-0000042,CR-TX-0000042-L02,Heartbeats. ¡Al límite de la taquicardia! 2,2,29.4,4.0,28.22,56.44,crisol,2025-11-09
CR-TX-0000043,CR-TX-0000043-L01,Ayacucho,2,55.2,19.0,44.71,89.42,crisol,2025-11-09
CR-TX-0000043,CR-TX-0000043-L02,Hechizos para la bruja solitaria,2,56.0,17.0,46.48,92.96,crisol,2025-11-09
CR-TX-0000044,CR-TX-0000044-L01,Más allá de Libido,2,63.2,2.0,61.94,123.88,crisol,2025-11-09
CR-TX-0000045,CR-TX-0000045-L01,La Casa de Cartón,3,36.0,15.0,30.6,91.8,crisol,2025-11-09
CR-TX-0000045,CR-TX-0000045-L02,Dignidad,2,31.2,2.0,30.58,61.16,crisol,2025-11-09
CR-TX-0000046,CR-TX-0000046-L01,Rompecabezas Level Up! Nivel 4 Transportes,3,69.01,4.0,66.25,198.75,crisol,2025-11-09
CR-TX-0000046,CR-TX-0000046-L02,Heart gold y Soul Silver 1. Pokémon. 24,2,48.3,4.0,46.37,92.74,crisol,2025-11-09
CR-TX-0000047,CR-TX-0000047-L01,El Peso del Corazón. Bruna Husky. 2,2,47.92,13.0,41.69,83.38,crisol,2025-11-09
CR-TX-0000047,CR-TX-0000047-L02,Elige no tener miedo,3,55.92,12.0,49.21,147.63,crisol,2025-11-09
CR-TX-0000048,CR-TX-0000048-L01,Hasta siempre señorita Shirley Ana de las tejas verdes 8,2,47.2,9.0,42.95,85.9,crisol,2025-11-09
CR-TX-0000049,CR-TX-0000049-L01,Fardos Lambayeque en El Brujo,3,239.2,1.0,236.81,710.43,crisol,2025-11-09
CR-TX-0000049,CR-TX-0000049-L02,Cuentas Transporters,3,52.0,10.0,46.8,140.4,crisol,2025-11-09
CR-TX-0000049,CR-TX-0000049-L03,"Rompecabezas 1000 El Nacimiento De Venus, Botticelli",2,59.9,2.0,58.7,117.4,crisol,2025-11-09
CR-TX-0000050,CR-TX-0000050-L01,La teoría del amor,3,69.3,24.0,52.67,158.01,crisol,2025-11-09
CR-TX-0000051,CR-TX-0000051-L01,Agenda 2026 Semanal Boho,1,45.01,22.0,35.11,35.11,crisol,2025-11-09
CR-TX-0000052,CR-TX-0000052-L01,The Betrayed. The Betrothed. 2,1,45.5,18.0,37.31,37.31,crisol,2025-11-09
CR-TX-0000052,CR-TX-0000052-L02,Dos veces única,1,71.92,6.0,67.6,67.6,crisol,2025-11-09
CR-TX-0000053,CR-TX-0000053-L01,Señorita. ¿Quiere Ser Mi Esposa?,2,24.0,20.0,19.2,38.4,crisol,2025-11-09
CR-TX-0000053,CR-TX-0000053-L02,El perro que cuidaba de las estrellas,2,32.0,5.0,30.4,60.8,crisol,2025-11-09
CR-TX-0000053,CR-TX-0000053-L03,Harry Potter Feast And Festivities Gift Set,2,219.9,3.0,213.3,426.6,crisol,2025-11-09
CR-TX-0000054,CR-TX-0000054-L01,Los Mosquemáticos. Un misterio multiplicado,2,52.0,21.0,41.08,82.16,crisol,2025-11-09
CR-TX-0000054,CR-TX-0000054-L02,Fábulas de Esopo,1,39.92,22.0,31.14,31.14,crisol,2025-11-09
CR-TX-0000054,CR-TX-0000054-L03,Tan diferentes como iguales,1,60.0,19.0,48.6,48.6,crisol,2025-11-09
CR-TX-0000054,CR-TX-0000054-L04,Reclutadas 1. She Can Do It!,1,81.0,18.0,66.42,66.42,crisol,2025-11-09
CR-TX-0000055,CR-TX-0000055-L01,The Selection 5-Book Box Set,1,202.3,13.0,176.0,176.0,crisol,2025-11-09
CR-TX-0000055,CR-TX-0000055-L02,El sutil arte de que te importe un carajo,2,55.3,17.0,45.9,91.8,crisol,2025-11-09
CR-TX-0000055,CR-TX-0000055-L03,Busca. Five Nights at Freddy's: Escalofríos de Fazbear. 2,1,63.2,19.0,51.19,51.19,crisol,2025-11-09
CR-TX-0000056,CR-TX-0000056-L01,Leading Through Inflation,3,77.4,18.0,63.47,190.41,crisol,2025-11-09
CR-TX-0000056,CR-TX-0000056-L02,Hajime no Ippo 08,2,55.92,4.0,53.68,107.36,crisol,2025-11-09
CR-TX-0000056,CR-TX-0000056-L03,El murciélago. Harry Hole. 1,3,39.2,3.0,38.02,114.06,crisol,2025-11-09
CR-TX-0000056,CR-TX-0000056-L04,The Selection 5-Book Box Set,1,202.3,2.0,198.25,198.25,crisol,2025-11-09
CR-TX-0000057,CR-TX-0000057-L01,Tal como era,3,71.2,24.0,54.11,162.33,crisol,2025-11-09
CR-TX-0000058,CR-TX-0000058-L01,Navidad en Hogwarts,3,79.2,17.0,65.74,197.22,crisol,2025-11-09
CR-TX-0000058,CR-TX-0000058-L02,Somos las hormigas,2,59.5,10.0,53.55,107.1,crisol,2025-11-09
CR-TX-0000058,CR-TX-0000058-L03,El regreso de Don Quijote,1,69.3,1.0,68.61,68.61,crisol,2025-11-09
CR-TX-0000059,CR-TX-0000059-L01,Blue Lock 4,2,31.92,20.0,25.54,51.08,crisol,2025-11-09
CR-TX-0000060,CR-TX-0000060-L01,Obra completa vol. 1,2,48.3,13.0,42.02,84.04,crisol,2025-11-09
CR-TX-0000060,CR-TX-0000060-L02,Junjo Romantica 9,3,24.5,2.0,24.01,72.03,crisol,2025-11-09
CR-TX-0000060,CR-TX-0000060-L03,A dos metros de ti,1,63.2,13.0,54.98,54.98,crisol,2025-11-09
CR-TX-0000060,CR-TX-0000060-L04,The Brides of Maracoor. Another Day. 1,3,63.2,20.0,50.56,151.68,crisol,2025-11-09
CR-TX-0000061,CR-TX-0000061-L01,Wonka,2,55.2,9.0,50.23,100.46,crisol,2025-11-09
CR-TX-0000062,CR-TX-0000062-L01,La Canción de Aquiles,1,87.5,14.0,75.25,75.25,crisol,2025-11-09
CR-TX-0000063,CR-TX-0000063-L01,Redeeming 6. Los chicos de Tommen. 4,2,71.2,15.0,60.52,121.04,crisol,2025-11-09
CR-TX-0000064,CR-TX-0000064-L01,La Amante,1,71.2,5.0,67.64,67.64,crisol,2025-11-09
CR-TX-0000064,CR-TX-0000064-L02,De Ninguna Parte,3,71.2,0.0,71.2,213.6,crisol,2025-11-09
CR-TX-0000065,CR-TX-0000065-L01,Vanity fair,3,118.3,8.0,108.84,326.52,crisol,2025-11-09
CR-TX-0000066,CR-TX-0000066-L01,El viaje de Curioso,2,31.2,1.0,30.89,61.78,crisol,2025-11-09
CR-TX-0000066,CR-TX-0000066-L02,Rompecabezas 1000 Travel Around the World,2,59.9,12.0,52.71,105.42,crisol,2025-11-09
CR-TX-0000067,CR-TX-0000067-L01,Agenda 2026 Butterfly Escritorio Diaria,2,109.91,18.0,90.13,180.26,crisol,2025-11-09
CR-TX-0000068,CR-TX-0000068-L01,Magnetic Tiles Colorido 60 piezas,2,169.0,1.0,167.31,334.62,crisol,2025-11-09
CR-TX-0000068,CR-TX-0000068-L02,Estuche para Libros Verde Limon,2,99.9,18.0,81.92,163.84,crisol,2025-11-09
CR-TX-0000069,CR-TX-0000069-L01,Nieve,2,47.2,23.0,36.34,72.68,crisol,2025-11-09
CR-TX-0000069,CR-TX-0000069-L02,La libertad y el valor para escribir,2,39.2,6.0,36.85,73.7,crisol,2025-11-09
CR-TX-0000069,CR-TX-0000069-L03,Espíritus del presente,2,79.2,17.0,65.74,131.48,crisol,2025-11-09
CR-TX-0000070,CR-TX-0000070-L01,The Pairing,3,87.2,10.0,78.48,235.44,crisol,2025-11-09
CR-TX-0000071,CR-TX-0000071-L01,Rompecabezas Mideer Artist Fairytale Puzzle: Three Little Pigs,2,49.01,24.0,37.25,74.5,crisol,2025-11-09
CR-TX-0000071,CR-TX-0000071-L02,Los pacientes del doctor García,2,95.2,8.0,87.58,175.16,crisol,2025-11-09
CR-TX-0000072,CR-TX-0000072-L01,Pokémon. Región de Paldea. Libro oficial de actividades,1,47.2,14.0,40.59,40.59,crisol,2025-11-09
CR-TX-0000072,CR-TX-0000072-L02,Los ríos profundos,1,79.2,20.0,63.36,63.36,crisol,2025-11-09
CR-TX-0000073,CR-TX-0000073-L01,Abecesaurio,1,44.0,15.0,37.4,37.4,crisol,2025-11-09
CR-TX-0000073,CR-TX-0000073-L02,Marcapáginas Artisan Go Confidently,3,29.9,8.0,27.51,82.53,crisol,2025-11-09
CR-TX-0000074,CR-TX-0000074-L01,Mi fiesta es mía,1,63.2,10.0,56.88,56.88,crisol,2025-11-09
CR-TX-0000074,CR-TX-0000074-L02,Las ranas saben cantar,3,52.5,9.0,47.77,143.31,crisol,2025-11-09
CR-TX-0000074,CR-TX-0000074-L03,Encuentro con la sombra,2,84.0,1.0,83.16,166.32,crisol,2025-11-09
CR-TX-0000075,CR-TX-0000075-L01,Bakemonogatari 11,2,29.6,9.0,26.94,53.88,crisol,2025-11-09
CR-TX-0000075,CR-TX-0000075-L02,Inteligencia socioemocional,1,60.0,6.0,56.4,56.4,crisol,2025-11-09
CR-TX-0000075,CR-TX-0000075-L03,Harry Potter Slytherin Ambition,2,109.91,19.0,89.03,178.06,crisol,2025-11-09
CR-TX-0000076,CR-TX-0000076-L01,Historias fantásticas,3,47.2,4.0,45.31,135.93,crisol,2025-11-09
CR-TX-0000076,CR-TX-0000076-L02,Marcapáginas V&A Collection Faisán,1,31.0,13.0,26.97,26.97,crisol,2025-11-09
CR-TX-0000076,CR-TX-0000076-L03,Autobiografía. Historia del movimiento psicoanalítico,3,45.6,23.0,35.11,105.33,crisol,2025-11-09
CR-TX-0000077,CR-TX-0000077-L01,Las puertitas del señor López,2,90.3,3.0,87.59,175.18,crisol,2025-11-09
CR-TX-0000077,CR-TX-0000077-L02,Capitalist Manifesto,3,71.4,14.0,61.4,184.2,crisol,2025-11-09
CR-TX-0000077,CR-TX-0000077-L03,Lo que la nieve susurra al caer,3,79.92,0.0,79.92,239.76,crisol,2025-11-09
CR-TX-0000077,CR-TX-0000077-L04,Antología Poética,3,47.2,0.0,47.2,141.6,crisol,2025-11-09
CR-TX-0000078,CR-TX-0000078-L01,"Rompecabezas 500 Brilla en la Oscuridad Big Ben, Londres",1,49.9,23.0,38.42,38.42,crisol,2025-11-09
CR-TX-0000078,CR-TX-0000078-L02,Marcapáginas V&A Collection Kilburn,3,31.0,14.0,26.66,79.98,crisol,2025-11-09
CR-TX-0000078,CR-TX-0000078-L03,Easy Readers Blue Block Browse 0.0,1,59.9,10.0,53.91,53.91,crisol,2025-11-09
CR-TX-0000079,CR-TX-0000079-L01,Mindfulness para principiantes,2,39.2,2.0,38.42,76.84,crisol,2025-11-09
CR-TX-0000079,CR-TX-0000079-L02,"Madres, padres y demás",2,71.2,16.0,59.81,119.62,crisol,2025-11-09
CR-TX-0000079,CR-TX-0000079-L03,Mitos griegos,3,132.3,4.0,127.01,381.03,crisol,2025-11-09
CR-TX-0000080,CR-TX-0000080-L01,Una prueba de amor. Las guerreras Maxwell. 5,2,79.92,11.0,71.13,142.26,crisol,2025-11-09
CR-TX-0000080,CR-TX-0000080-L02,Diary Of a Wimpy Kid: The Meltdown (Book 13),3,27.3,22.0,21.29,63.87,crisol,2025-11-09
CR-TX-0000080,CR-TX-0000080-L03,La Posada Shima. La Posada Shima. 1,3,68.0,21.0,53.72,161.16,crisol,2025-11-09
CR-TX-0000080,CR-TX-0000080-L04,Estuche Harry Potter Ravenclaw (edición limitada),3,343.2,12.0,302.02,906.06,crisol,2025-11-09
CR-TX-0000081,CR-TX-0000081-L01,Relatos terroríficos 8,1,27.3,22.0,21.29,21.29,crisol,2025-11-09
CR-TX-0000081,CR-TX-0000081-L02,"¿Qué será eso del amor, Minimoni?",1,55.93,10.0,50.34,50.34,crisol,2025-11-09
CR-TX-0000081,CR-TX-0000081-L03,Undead Unluck 02,3,41.3,8.0,38.0,114.0,crisol,2025-11-09
CR-TX-0000081,CR-TX-0000081-L04,Pokémon Súper Extra Delux Guía esencial definitiva,2,95.2,12.0,83.78,167.56,crisol,2025-11-09
CR-TX-0000082,CR-TX-0000082-L01,Por tu culpa no puedo respirar 02,1,38.5,17.0,31.95,31.95,crisol,2025-11-09
CR-TX-0000082,CR-TX-0000082-L02,Cómo ganar amigos e influir sobre las personas,3,55.2,23.0,42.5,127.5,crisol,2025-11-09
CR-TX-0000082,CR-TX-0000082-L03,Supercomunicadores,2,63.2,8.0,58.14,116.28,crisol,2025-11-09
CR-TX-0000082,CR-TX-0000082-L04,El anticristo. El manga,1,42.0,22.0,32.76,32.76,crisol,2025-11-09
